Age,Gender,Income,EmploymentType,Education,HousingType,FamilyStatus,EmploymentYears,CreditScore,LoanAmount,PaymentHistory,Dependents,Approved
58,Female,1135676,Business,High School,Owned,Single,26,754,464023,Good,3,1
60,Female,248290,Government,High School,With Parents,Married,27,836,358915,Good,3,0
53,Female,1957872,Student,Post Graduate,Owned,Married,9,379,630145,Poor,5,0
45,Male,1852702,Student,High School,Owned,Married,22,714,287458,Good,2,1
35,Female,1459204,Student,High School,With Parents,Divorced,15,366,474214,Good,0,0
45,Female,953969,Student,High School,Rented,Married,28,734,93806,Good,2,1
35,Female,968804,Government,Graduate,Owned,Single,14,899,676340,Good,4,1
33,Male,999946,Government,High School,Owned,Single,10,394,645346,Good,0,0
37,Male,1301537,Government,Graduate,Owned,Married,9,746,292042,Poor,1,0
35,Female,853469,Business,Post Graduate,Owned,Single,5,353,600424,Good,5,0
32,Female,1349110,Student,Graduate,Owned,Single,1,500,631907,Good,0,0
27,Female,1913980,Business,Post Graduate,Owned,Married,35,677,758339,Good,4,1
32,Male,1850266,Working,Graduate,Owned,Married,32,321,525245,Good,0,0
46,Male,550227,Working,Graduate,Owned,Single,15,676,601740,Good,3,0
36,Female,567305,Working,Post Graduate,Owned,Single,2,368,395758,Good,2,0
50,Female,1620873,Student,Post Graduate,With Parents,Divorced,25,837,489286,Poor,4,0
43,Female,1776285,Government,Post Graduate,Rented,Single,32,811,132372,Poor,1,0
25,Female,1965688,Government,High School,With Parents,Married,24,684,314067,Good,2,1
52,Male,1773517,Working,High School,Rented,Divorced,9,760,907224,Good,5,1
29,Female,1031228,Business,High School,Owned,Single,28,558,510421,Good,5,0
50,Female,629271,Student,High School,Rented,Single,15,449,940613,Good,0,0
39,Female,311399,Government,Graduate,Rented,Divorced,27,379,627296,Good,4,0
56,Female,284985,Student,High School,Rented,Married,12,617,966771,Good,0,0
27,Male,1760989,Government,High School,Owned,Divorced,13,833,389301,Good,3,1
42,Female,927556,Government,Graduate,Rented,Single,33,899,129287,Poor,3,0
48,Male,1597374,Working,High School,Rented,Married,28,573,150944,Good,1,0
26,Female,778310,Student,High School,Owned,Single,19,312,999879,Good,3,0
57,Male,1075747,Business,Graduate,With Parents,Divorced,16,515,594,Poor,1,0
23,Female,1725128,Student,High School,Owned,Married,10,805,119786,Good,3,1
42,Female,1983824,Student,Graduate,With Parents,Divorced,35,638,662201,Good,4,0
30,Female,1890700,Business,High School,Owned,Married,30,578,344094,Poor,2,0
52,Female,307555,Government,Graduate,Owned,Single,35,528,885510,Good,1,0
50,Male,406773,Government,Graduate,With Parents,Married,26,880,347302,Good,1,0
31,Female,1590165,Working,Graduate,Owned,Married,25,742,161528,Good,0,1
42,Female,447938,Government,High School,Rented,Married,25,519,425006,Good,1,0
39,Male,1480463,Business,Graduate,Owned,Divorced,20,685,894643,Good,0,1
26,Male,514669,Student,Graduate,Owned,Divorced,9,352,2188,Good,0,0
29,Female,1969115,Government,Post Graduate,With Parents,Divorced,22,885,91771,Good,2,1
42,Male,281667,Working,High School,With Parents,Single,12,474,940631,Good,3,0
27,Female,1444387,Government,Post Graduate,With Parents,Single,18,441,68097,Good,2,0
31,Male,1241058,Business,Post Graduate,Rented,Single,25,646,697312,Good,3,0
49,Female,1267190,Government,Graduate,With Parents,Divorced,25,728,846165,Poor,2,0
41,Male,704745,Student,High School,With Parents,Single,2,381,61601,Good,0,0
30,Male,1141453,Business,High School,With Parents,Single,18,640,721132,Good,1,0
51,Female,1059581,Working,Post Graduate,With Parents,Divorced,35,609,982973,Good,3,0
23,Female,528269,Student,High School,Rented,Single,3,332,881979,Poor,2,0
45,Male,1903975,Student,Graduate,With Parents,Married,20,760,139359,Poor,5,0
48,Female,1776039,Business,High School,Owned,Married,26,395,510545,Poor,2,0
30,Male,494316,Business,Post Graduate,With Parents,Married,17,507,755797,Good,0,0
21,Female,1691840,Government,Post Graduate,Rented,Married,0,407,506250,Good,4,0
33,Male,509971,Government,Post Graduate,With Parents,Divorced,32,580,556656,Good,4,0
58,Male,1112130,Working,Graduate,With Parents,Divorced,35,597,564964,Poor,3,0
23,Female,897524,Working,Graduate,With Parents,Divorced,4,785,869849,Poor,3,0
59,Male,860979,Business,Graduate,Rented,Married,2,534,700901,Poor,2,0
46,Female,208986,Business,High School,Owned,Married,15,706,2359,Good,0,0
38,Female,234274,Government,Post Graduate,With Parents,Single,31,894,223781,Good,4,0
39,Male,1993555,Business,Graduate,With Parents,Divorced,21,481,571540,Good,0,0
48,Male,889490,Business,Graduate,Owned,Single,8,564,177233,Good,5,0
37,Female,539448,Student,High School,With Parents,Single,23,399,802257,Poor,2,0
55,Male,359857,Business,High School,Owned,Single,4,576,187664,Good,3,0
42,Male,1249547,Student,Post Graduate,Owned,Married,17,385,373564,Good,2,0
32,Female,1891566,Business,Post Graduate,Rented,Divorced,1,388,66514,Good,2,0
31,Male,1203886,Government,High School,Rented,Married,27,406,846489,Good,3,0
34,Male,598760,Student,Post Graduate,With Parents,Divorced,4,532,875048,Good,3,0
56,Female,1012175,Government,Post Graduate,Rented,Single,2,337,474909,Good,4,0
43,Male,1593725,Government,Post Graduate,Rented,Married,0,622,903879,Good,1,0
27,Male,1443371,Business,Graduate,Rented,Divorced,35,648,125570,Good,0,0
41,Male,854433,Student,Graduate,Owned,Single,3,607,697118,Poor,1,0
37,Female,520941,Government,Graduate,Rented,Single,33,672,78760,Good,5,1
40,Female,247672,Working,Graduate,Rented,Single,5,440,976654,Good,4,0
27,Female,437762,Working,Graduate,Rented,Married,7,487,604411,Good,0,0
35,Male,779893,Government,Post Graduate,With Parents,Single,35,891,912576,Good,2,0
56,Female,410628,Student,High School,Rented,Married,5,641,282117,Good,1,0
25,Male,1433763,Working,High School,Rented,Single,30,669,425709,Good,2,1
31,Male,371985,Government,High School,Owned,Divorced,6,317,493161,Good,5,0
29,Male,1747408,Business,Graduate,Owned,Divorced,33,579,604704,Good,1,0
52,Male,324511,Student,High School,With Parents,Divorced,24,497,865101,Good,2,0
29,Female,1438934,Student,Post Graduate,Rented,Married,15,427,741242,Good,5,0
59,Female,203046,Working,Graduate,With Parents,Single,16,431,604625,Good,5,0
58,Male,1607238,Business,High School,With Parents,Single,14,555,781063,Good,0,0
46,Male,657463,Government,High School,With Parents,Single,13,413,870287,Good,3,0
27,Female,632712,Student,High School,Owned,Divorced,7,677,340904,Poor,3,0
54,Female,1129901,Business,Post Graduate,Owned,Single,24,661,197133,Poor,5,0
36,Female,1225325,Government,Graduate,Owned,Married,0,743,486101,Good,0,1
50,Female,627483,Student,High School,Rented,Single,18,586,185660,Good,0,0
51,Male,1429947,Student,Graduate,Rented,Divorced,14,760,210684,Good,2,1
51,Female,765475,Business,Graduate,Owned,Married,8,317,818946,Good,3,0
45,Male,1357096,Business,High School,Rented,Divorced,23,834,267188,Good,2,1
54,Female,1765320,Student,High School,Owned,Divorced,6,547,942434,Good,1,0
56,Male,1516003,Student,Post Graduate,Owned,Single,1,635,805823,Good,4,0
47,Female,203062,Student,High School,Owned,Single,19,735,263368,Good,2,0
58,Male,1518787,Student,Post Graduate,With Parents,Divorced,22,398,398376,Good,1,0
36,Female,296056,Government,Graduate,Rented,Single,34,641,517105,Good,4,0
22,Male,416410,Business,High School,Rented,Single,13,778,432390,Good,5,0
25,Male,1628078,Student,Post Graduate,Owned,Single,13,523,388892,Good,2,0
21,Female,452240,Government,Post Graduate,With Parents,Married,13,395,357369,Poor,4,0
28,Male,1889079,Government,Post Graduate,With Parents,Divorced,15,345,499135,Good,4,0
31,Male,1965900,Student,High School,Rented,Married,6,390,528168,Good,4,0
38,Male,1095705,Government,Graduate,Rented,Divorced,10,327,774793,Good,5,0
57,Male,1599426,Government,High School,Owned,Single,14,346,768019,Good,1,0
33,Male,818659,Student,High School,With Parents,Married,14,437,33020,Good,5,0
34,Female,1515188,Government,Post Graduate,Rented,Single,4,462,496741,Good,1,0
44,Male,1317844,Business,Post Graduate,Rented,Single,5,461,222072,Good,3,0
27,Female,680787,Business,Graduate,With Parents,Divorced,35,843,996112,Poor,4,0
58,Female,1150125,Business,Post Graduate,With Parents,Divorced,13,759,445525,Good,3,1
38,Female,745739,Business,Post Graduate,Owned,Single,25,602,393767,Good,3,0
26,Male,1870595,Business,High School,Owned,Divorced,34,415,587270,Good,5,0
58,Male,310796,Business,Post Graduate,Owned,Single,15,351,533112,Poor,4,0
25,Male,1330370,Working,Graduate,With Parents,Divorced,5,565,273825,Good,1,0
32,Male,1096995,Student,High School,Owned,Single,5,830,155002,Good,0,1
48,Male,1747155,Government,Graduate,Owned,Divorced,17,645,31415,Good,0,0
22,Male,1897848,Working,High School,Rented,Single,5,384,721374,Good,0,0
49,Female,320056,Working,Post Graduate,Owned,Married,20,688,704830,Good,4,0
39,Female,746945,Business,High School,With Parents,Single,34,788,301134,Good,0,1
30,Male,1928801,Government,Post Graduate,With Parents,Single,20,688,491650,Good,3,1
50,Male,292581,Working,High School,With Parents,Married,15,686,362127,Good,0,0
44,Female,1311564,Business,Graduate,Rented,Divorced,7,541,433032,Good,2,0
53,Male,874528,Government,Post Graduate,Owned,Married,19,474,823278,Good,5,0
23,Male,1510755,Student,High School,Rented,Single,15,720,631350,Poor,4,0
50,Female,1849458,Working,Post Graduate,With Parents,Divorced,11,428,67648,Good,0,0
28,Female,730191,Working,Post Graduate,With Parents,Divorced,0,567,655966,Good,5,0
32,Female,1245319,Business,Post Graduate,Owned,Married,12,841,679207,Good,2,1
36,Male,1611382,Working,High School,With Parents,Married,18,474,547066,Good,5,0
40,Female,824084,Business,High School,Owned,Married,8,677,757333,Good,4,0
48,Male,418298,Government,Graduate,Owned,Married,2,699,305791,Poor,5,0
45,Male,943809,Government,Graduate,Owned,Single,25,534,756153,Good,2,0
55,Male,816212,Business,Post Graduate,Owned,Divorced,5,781,395597,Good,2,1
39,Male,1819078,Business,Post Graduate,Owned,Married,15,869,731283,Good,1,1
38,Female,1721472,Business,Graduate,With Parents,Divorced,3,648,39364,Good,5,0
24,Female,700835,Business,High School,Owned,Married,12,838,270235,Good,5,1
28,Female,1727672,Business,High School,Owned,Single,6,765,551772,Good,0,1
55,Male,1471831,Business,High School,With Parents,Single,12,804,227312,Good,5,1
41,Male,282231,Student,High School,With Parents,Single,5,817,520792,Good,2,0
45,Male,1168282,Student,Post Graduate,With Parents,Divorced,0,310,955788,Good,0,0
22,Male,901682,Student,High School,With Parents,Single,33,313,256257,Good,2,0
51,Female,753411,Government,Post Graduate,Owned,Divorced,26,303,925138,Good,1,0
46,Female,1478722,Government,High School,Owned,Single,19,372,847787,Good,4,0
57,Female,428287,Government,High School,Owned,Married,33,788,359609,Poor,4,0
29,Female,608327,Business,Post Graduate,Owned,Single,32,451,77071,Good,2,0
42,Female,1077173,Working,High School,Rented,Single,18,433,544924,Good,5,0
23,Female,1522208,Working,Graduate,Owned,Married,25,738,456519,Poor,5,0
23,Male,444344,Business,Graduate,Owned,Single,12,356,545528,Poor,2,0
45,Female,1473867,Working,High School,Rented,Single,29,374,335940,Poor,1,0
27,Male,1809762,Business,Graduate,Rented,Married,3,740,533804,Good,3,1
57,Male,1217928,Student,Graduate,With Parents,Divorced,9,515,549969,Poor,2,0
23,Male,707720,Government,Post Graduate,Owned,Divorced,28,498,359251,Good,3,0
56,Male,1054499,Working,High School,Owned,Divorced,23,427,55994,Good,2,0
49,Male,1470207,Working,Post Graduate,Rented,Divorced,4,596,299645,Good,0,0
49,Female,1422428,Business,Graduate,With Parents,Divorced,26,886,847322,Good,5,1
39,Female,388019,Government,High School,With Parents,Married,24,882,260257,Good,4,1
27,Female,244613,Government,Post Graduate,With Parents,Single,11,494,113618,Good,1,0
39,Male,1827953,Student,Graduate,With Parents,Divorced,3,717,652442,Good,4,1
51,Male,1034653,Working,Graduate,Rented,Single,28,478,785673,Good,4,0
35,Male,883206,Government,Post Graduate,Owned,Divorced,8,874,793784,Good,2,0
21,Female,1054531,Working,High School,With Parents,Divorced,27,649,31394,Good,1,0
46,Female,1341900,Business,Graduate,With Parents,Married,5,863,401010,Good,2,1
47,Male,1938989,Business,High School,With Parents,Married,27,400,704655,Poor,1,0
33,Female,1398537,Government,High School,Rented,Single,17,708,567770,Good,4,1
40,Female,1512903,Working,High School,Owned,Married,14,301,6829,Good,4,0
48,Female,1016392,Working,High School,Owned,Married,32,506,78702,Good,1,0
60,Female,1927131,Working,High School,Owned,Married,33,357,641799,Good,0,0
39,Male,1999014,Government,High School,Rented,Married,11,834,205415,Poor,3,0
47,Male,305485,Government,High School,With Parents,Married,17,317,939228,Good,3,0
59,Female,1019436,Business,High School,With Parents,Married,8,712,800028,Poor,5,0
29,Male,922574,Working,Post Graduate,Owned,Divorced,31,785,967656,Good,0,0
31,Male,1812947,Government,High School,Rented,Divorced,34,569,70420,Poor,1,0
33,Female,686776,Working,High School,Rented,Married,10,507,361487,Poor,3,0
27,Female,1342288,Working,Graduate,Owned,Single,10,404,82412,Good,0,0
45,Male,659005,Student,High School,With Parents,Divorced,20,435,490448,Good,4,0
43,Female,454309,Business,High School,Rented,Single,34,603,322015,Good,0,0
31,Female,300213,Business,Graduate,Rented,Divorced,2,396,452103,Good,0,0
36,Female,629686,Government,High School,Rented,Married,34,410,972747,Good,3,0
52,Male,591429,Working,High School,Owned,Divorced,5,803,937706,Poor,4,0
32,Male,1517568,Business,Graduate,With Parents,Married,10,886,572653,Good,3,1
59,Female,690449,Student,High School,With Parents,Single,7,827,185825,Good,2,1
47,Male,909825,Business,Post Graduate,Rented,Divorced,1,804,823769,Good,4,0
48,Female,1627626,Working,Graduate,Rented,Divorced,3,712,902723,Poor,1,0
46,Male,1861791,Working,Graduate,Owned,Married,34,447,88450,Good,1,0
32,Male,1519475,Government,Graduate,With Parents,Single,5,702,711717,Poor,2,0
21,Female,1330521,Student,High School,With Parents,Married,25,883,157643,Good,4,1
32,Male,1396673,Business,Graduate,With Parents,Married,29,340,584608,Good,5,0
38,Male,1101693,Government,Post Graduate,Owned,Single,8,338,892204,Good,0,0
59,Male,1588972,Student,Post Graduate,With Parents,Divorced,16,819,306045,Good,2,1
59,Female,1974474,Working,Post Graduate,Owned,Married,22,762,656477,Good,3,1
23,Female,392236,Government,High School,Owned,Divorced,25,758,409464,Good,4,0
32,Male,1490970,Student,Graduate,Rented,Single,4,772,518938,Good,3,1
45,Male,1997309,Student,Post Graduate,Rented,Divorced,9,432,335666,Good,1,0
52,Male,1857857,Government,Post Graduate,With Parents,Single,25,490,715484,Good,1,0
44,Male,1658572,Government,High School,With Parents,Married,24,690,763036,Good,5,1
50,Male,264244,Working,High School,Rented,Divorced,11,650,893891,Good,2,0
32,Female,1166128,Student,High School,Owned,Married,18,490,669307,Good,1,0
55,Female,1855775,Student,High School,Owned,Divorced,6,648,424569,Good,0,0
41,Male,1317866,Government,Post Graduate,Rented,Single,21,698,175824,Poor,1,0
46,Male,1656676,Business,Graduate,With Parents,Divorced,23,404,234412,Poor,4,0
27,Female,974334,Government,High School,With Parents,Married,33,569,405042,Poor,4,0
41,Male,1479019,Government,Graduate,With Parents,Married,16,529,7971,Good,5,0
60,Male,1616472,Working,High School,Rented,Divorced,30,468,49167,Good,5,0
42,Male,764414,Working,High School,Rented,Single,25,614,92492,Good,3,0
27,Female,1935601,Government,High School,Owned,Single,11,674,649466,Poor,3,0
51,Male,699434,Student,Graduate,Rented,Single,1,572,999010,Poor,5,0
27,Female,1814302,Working,High School,Rented,Single,29,692,645627,Good,0,1
58,Female,1377520,Working,Post Graduate,With Parents,Single,30,306,284879,Good,1,0
53,Female,1043461,Business,High School,Rented,Divorced,27,726,61204,Poor,4,0
53,Female,1861564,Student,Post Graduate,Rented,Married,19,471,144933,Good,2,0
53,Female,1753574,Government,Post Graduate,With Parents,Married,27,672,835298,Poor,5,0
60,Female,572821,Business,Graduate,With Parents,Single,5,738,348436,Good,0,1
23,Male,527036,Government,Graduate,With Parents,Single,14,374,247905,Good,0,0
41,Female,345212,Business,High School,Rented,Married,30,334,547133,Good,5,0
48,Male,1630247,Working,Graduate,Rented,Married,33,837,646875,Good,4,1
60,Female,502141,Student,Post Graduate,Owned,Married,28,751,754304,Poor,5,0
47,Male,1766363,Working,High School,Rented,Divorced,10,677,301898,Good,0,1
54,Male,1889014,Business,Post Graduate,With Parents,Single,8,494,876964,Good,1,0
59,Male,1964055,Working,Post Graduate,Rented,Divorced,5,360,395477,Good,0,0
54,Male,1071089,Government,Graduate,Owned,Single,35,774,361766,Good,1,1
51,Female,1287753,Working,Post Graduate,Rented,Single,11,658,503399,Good,2,1
44,Female,1214672,Business,Graduate,Owned,Divorced,2,633,149365,Good,4,0
50,Female,1579250,Business,Post Graduate,Owned,Married,3,862,911244,Good,3,1
28,Female,568152,Working,Graduate,With Parents,Single,12,753,825451,Good,1,0
57,Male,1957121,Working,Graduate,Owned,Single,9,890,594411,Poor,1,0
47,Male,411413,Student,Graduate,With Parents,Divorced,4,610,247749,Good,1,0
36,Male,881789,Government,Post Graduate,Owned,Divorced,34,508,335757,Good,2,0
38,Female,456180,Student,Post Graduate,With Parents,Married,31,524,169409,Poor,2,0
36,Male,1397565,Government,Graduate,Rented,Divorced,31,419,189226,Poor,4,0
58,Female,205637,Business,Post Graduate,Owned,Married,4,465,58130,Good,5,0
59,Female,1793302,Student,Post Graduate,Owned,Single,31,634,144992,Good,4,0
54,Male,474031,Business,High School,With Parents,Single,8,673,416422,Good,5,0
24,Male,563365,Working,High School,Rented,Divorced,31,776,543816,Good,4,0
49,Female,1633607,Business,Post Graduate,With Parents,Divorced,23,826,374723,Good,5,1
55,Female,327676,Working,High School,Owned,Married,19,541,967358,Good,0,0
57,Female,429597,Student,High School,Rented,Single,13,884,942187,Poor,0,0
22,Male,1548283,Business,Post Graduate,With Parents,Divorced,22,324,96967,Good,3,0
38,Male,318884,Business,High School,With Parents,Married,30,384,220638,Good,3,0
26,Male,504473,Student,High School,With Parents,Single,9,418,217312,Good,5,0
50,Female,1178432,Business,High School,Owned,Divorced,5,418,118184,Good,0,0
29,Male,287768,Working,Post Graduate,With Parents,Single,28,439,758119,Good,5,0
54,Female,721506,Business,Post Graduate,With Parents,Divorced,13,337,307874,Good,3,0
45,Female,637050,Working,Post Graduate,Owned,Married,19,833,108663,Good,2,1
32,Male,388954,Government,High School,With Parents,Divorced,25,837,147441,Poor,0,0
57,Female,482348,Business,Post Graduate,Rented,Married,8,317,880794,Poor,1,0
44,Female,1713250,Student,High School,With Parents,Divorced,0,519,750437,Good,4,0
43,Male,1834140,Student,High School,Owned,Single,29,421,148770,Good,3,0
43,Female,1331705,Government,Graduate,Rented,Single,13,327,271955,Poor,5,0
30,Male,495375,Student,High School,Rented,Single,23,465,502593,Good,3,0
38,Male,548865,Working,Graduate,With Parents,Divorced,5,741,446901,Poor,0,0
47,Male,472603,Business,Graduate,With Parents,Divorced,6,650,334952,Good,1,1
21,Male,1670525,Government,High School,Owned,Single,7,317,646066,Good,3,0
52,Female,972939,Student,Graduate,With Parents,Single,23,753,618788,Good,2,1
44,Female,1091646,Business,High School,Rented,Married,6,440,877417,Poor,3,0
48,Male,431861,Working,Post Graduate,Owned,Single,32,425,40611,Good,5,0
47,Male,410506,Student,Graduate,Rented,Single,31,465,444392,Good,4,0
21,Male,1903592,Government,Graduate,Owned,Single,1,410,359366,Good,3,0
26,Male,1266114,Working,Graduate,Rented,Single,15,355,484385,Good,2,0
26,Male,1904978,Government,Graduate,With Parents,Married,31,607,209185,Poor,1,0
28,Male,251988,Working,Post Graduate,Rented,Single,22,844,901150,Good,2,0
49,Female,1675152,Student,Post Graduate,Rented,Married,1,509,126349,Good,2,0
33,Male,1472893,Student,High School,Rented,Married,27,703,458027,Poor,0,0
43,Male,1300199,Business,High School,With Parents,Married,1,332,60377,Poor,3,0
47,Female,410065,Government,Graduate,With Parents,Divorced,1,369,833726,Good,3,0
58,Female,1597828,Student,High School,Rented,Single,1,568,614008,Good,4,0
25,Female,1404119,Working,Graduate,Owned,Divorced,4,624,822563,Good,2,0
60,Male,1894146,Government,Post Graduate,With Parents,Married,25,841,516763,Good,5,1
25,Male,1171500,Student,Post Graduate,Owned,Married,24,869,786334,Good,3,1
45,Male,511300,Business,Graduate,Rented,Single,31,791,598755,Good,1,0
32,Female,1116232,Business,High School,With Parents,Divorced,32,596,611177,Good,0,0
60,Female,1892429,Working,High School,With Parents,Married,10,741,889319,Poor,5,0
29,Male,649508,Student,High School,With Parents,Married,34,475,110825,Good,0,0
31,Male,1522935,Government,High School,With Parents,Single,15,678,717588,Good,4,1
57,Female,507454,Working,High School,Rented,Single,34,815,656367,Good,2,0
53,Male,1909847,Working,Post Graduate,Rented,Married,19,847,144955,Good,0,1
49,Female,1294600,Business,Post Graduate,Rented,Divorced,23,748,977804,Good,1,1
24,Male,744212,Working,Graduate,Rented,Married,30,395,869070,Poor,1,0
45,Male,828213,Student,High School,With Parents,Divorced,5,461,535715,Poor,5,0
58,Female,1859818,Business,Post Graduate,With Parents,Married,35,816,157744,Good,3,1
58,Female,1593732,Working,Graduate,Owned,Divorced,22,534,748035,Good,0,0
58,Female,435914,Government,Graduate,Owned,Married,35,554,185628,Good,5,0
56,Male,898995,Student,Graduate,Owned,Married,25,486,307075,Good,4,0
47,Female,1951303,Student,Graduate,With Parents,Single,16,739,26865,Good,4,1
40,Male,335811,Student,High School,Owned,Divorced,21,404,404682,Good,2,0
58,Male,1931240,Student,Graduate,With Parents,Divorced,8,300,526943,Poor,1,0
38,Female,1317160,Business,Post Graduate,Owned,Married,8,564,414385,Good,4,0
49,Male,1091110,Working,Post Graduate,Owned,Single,19,375,224869,Poor,0,0
58,Male,950250,Business,High School,With Parents,Married,6,538,223707,Good,3,0
21,Female,591287,Business,High School,Rented,Married,35,823,98980,Good,5,1
22,Male,955637,Government,Graduate,Rented,Single,16,427,646216,Good,2,0
23,Male,1661745,Government,Graduate,Owned,Divorced,26,711,886180,Good,5,1
51,Male,1819839,Business,Post Graduate,Rented,Divorced,34,886,789586,Good,0,1
55,Male,1040338,Student,Post Graduate,Owned,Single,17,381,464362,Good,4,0
27,Male,1961051,Government,Post Graduate,Owned,Married,24,571,572433,Good,5,0
55,Male,1665659,Student,Post Graduate,With Parents,Divorced,28,619,975500,Good,4,0
40,Male,886453,Government,Post Graduate,Rented,Married,3,413,130145,Good,5,0
59,Male,322868,Student,Graduate,Owned,Divorced,24,345,368323,Good,3,0
26,Female,1631864,Working,High School,With Parents,Divorced,35,704,217203,Good,1,1
47,Male,409732,Government,Graduate,Rented,Divorced,3,688,509092,Good,0,0
59,Female,1892388,Business,Graduate,With Parents,Divorced,16,483,49239,Good,3,0
45,Female,1847348,Student,Graduate,Rented,Married,3,634,827513,Good,1,0
21,Female,860073,Student,Graduate,Rented,Married,21,850,935815,Good,3,0
40,Female,662909,Business,Post Graduate,With Parents,Single,27,433,254297,Poor,2,0
37,Female,999561,Business,Post Graduate,Owned,Married,21,596,56824,Good,5,0
42,Female,680042,Working,High School,With Parents,Divorced,27,464,897135,Good,1,0
30,Female,579676,Student,Graduate,Rented,Divorced,30,618,420726,Good,2,0
60,Male,1018190,Working,High School,Owned,Single,17,402,96783,Good,4,0
37,Female,325763,Working,Post Graduate,Owned,Single,30,828,415320,Good,3,0
56,Male,610798,Working,High School,With Parents,Divorced,22,754,975936,Good,0,0
38,Female,482926,Student,Graduate,Owned,Divorced,27,377,154428,Good,1,0
24,Male,1308894,Government,High School,With Parents,Married,21,533,450975,Good,4,0
45,Male,1167215,Government,Post Graduate,Owned,Married,16,826,183320,Good,0,1
56,Male,1255837,Government,Graduate,Rented,Married,3,332,708649,Poor,2,0
40,Female,798122,Student,Graduate,With Parents,Single,12,378,116815,Good,1,0
30,Female,798665,Student,Post Graduate,With Parents,Divorced,5,761,459683,Poor,3,0
34,Male,1593553,Government,Post Graduate,With Parents,Divorced,10,801,177965,Good,4,1
55,Female,1636723,Business,High School,Rented,Married,0,855,63730,Poor,0,0
59,Female,717866,Working,Graduate,Rented,Divorced,12,333,405393,Good,1,0
41,Male,759447,Business,Graduate,Owned,Married,0,336,899508,Poor,5,0
27,Male,1699789,Student,Graduate,Rented,Divorced,18,826,948964,Good,3,1
43,Male,784799,Government,Graduate,With Parents,Married,16,568,448263,Good,4,0
34,Female,1643750,Working,Graduate,With Parents,Divorced,13,761,738802,Good,0,1
21,Female,705253,Working,High School,With Parents,Married,32,824,693182,Good,4,0
45,Female,1429614,Business,Post Graduate,With Parents,Single,19,622,504617,Good,1,0
51,Male,775124,Student,Post Graduate,Owned,Married,24,538,38198,Poor,5,0
59,Female,1689969,Government,High School,Rented,Single,13,870,680208,Good,3,1
31,Male,699682,Working,High School,Owned,Divorced,35,811,31544,Good,1,1
57,Male,561554,Working,Post Graduate,With Parents,Divorced,13,471,152783,Good,0,0
21,Male,682385,Business,High School,Owned,Single,33,695,483717,Good,0,1
23,Male,1265192,Student,Post Graduate,Rented,Single,0,860,87672,Poor,1,0
44,Female,1871135,Working,Graduate,Owned,Divorced,15,866,303419,Poor,5,0
36,Male,1436549,Working,Graduate,Rented,Married,35,441,204459,Good,3,0
58,Female,1944951,Working,High School,Owned,Single,1,768,875876,Good,1,1
21,Female,1914148,Government,Graduate,With Parents,Divorced,24,748,874607,Good,0,1
23,Female,1107753,Student,Graduate,Rented,Single,4,313,948947,Good,2,0
40,Male,1686794,Working,Post Graduate,Owned,Married,0,757,567965,Good,3,1
60,Female,1819894,Student,High School,With Parents,Divorced,0,676,810555,Good,1,1
48,Female,1349731,Business,Graduate,With Parents,Single,24,847,760863,Good,4,1
46,Male,1014563,Student,High School,With Parents,Single,34,743,585136,Good,5,1
57,Male,1190859,Student,Post Graduate,Owned,Married,1,679,841850,Good,1,1
44,Female,1969771,Working,Post Graduate,Rented,Married,1,542,132649,Good,0,0
29,Female,1671240,Government,Graduate,With Parents,Divorced,35,491,398606,Good,0,0
56,Male,1796042,Government,High School,Owned,Married,23,643,535294,Good,0,0
50,Female,1158226,Government,Post Graduate,Owned,Divorced,8,799,311215,Good,1,1
25,Male,1336259,Business,Graduate,Owned,Divorced,25,441,456909,Good,1,0
30,Female,901009,Working,Graduate,Owned,Divorced,16,675,279341,Poor,0,0
56,Female,1628192,Government,Graduate,Rented,Single,20,745,817367,Good,0,1
57,Male,464930,Government,Graduate,Owned,Divorced,1,350,66447,Good,1,0
42,Female,776945,Working,Graduate,Owned,Single,8,585,888792,Poor,1,0
53,Male,1374384,Government,Post Graduate,Rented,Single,3,391,509057,Good,4,0
32,Male,1644617,Government,Post Graduate,Rented,Single,5,439,440071,Good,4,0
44,Male,1209716,Working,High School,Rented,Divorced,3,393,121811,Good,0,0
60,Male,1969661,Student,High School,With Parents,Single,20,490,448165,Good,0,0
44,Male,1913248,Student,High School,With Parents,Single,12,344,34422,Good,3,0
58,Female,1627081,Working,High School,Rented,Married,5,816,601885,Good,4,1
41,Female,676060,Business,Post Graduate,With Parents,Married,26,868,600922,Good,3,0
43,Male,1448178,Government,Graduate,Rented,Single,26,390,654736,Good,4,0
30,Female,624011,Government,Post Graduate,Owned,Single,4,336,270340,Good,1,0
43,Female,665104,Business,High School,Rented,Married,13,668,459119,Good,1,1
42,Male,1082223,Working,Graduate,Rented,Divorced,27,339,781537,Good,1,0
58,Male,1705226,Government,Graduate,With Parents,Divorced,12,860,318389,Poor,2,0
35,Female,1873094,Government,Graduate,Owned,Divorced,3,638,350216,Good,3,0
38,Male,1025173,Government,Graduate,With Parents,Married,22,381,381914,Poor,1,0
34,Male,1729214,Working,Post Graduate,Owned,Divorced,21,632,112344,Good,5,0
40,Male,1596876,Working,High School,Owned,Single,6,773,816745,Good,3,1
27,Male,498475,Government,Graduate,With Parents,Married,24,355,720096,Good,1,0
